1girl,1个女孩
haku (p&d),白 (p&d)
headshop,总店
ikea shark,宜家鲨鱼
joltik,不知何故
kamen rider kuuga (series),骑士空我来了（系列）
lisia (pokemon),莉西亚（口袋妖怪）
meiou setsuna,美欧setsuna
nier (granblue fantasy),尼尔（绿蓝幻想）
re:act,回复：行动
ryu (ryu's form site),ryu（ryu 的表单网站）
snow white,白雪公主
white headdress,白色头饰
yakumo yukari (young),八云由加里（年轻）
yomi (senran kagura),读物（闪乱神乐）
aqua sailor collar,水手领
baram,巴拉姆
big hero 6,大英雄6
black bandeau,黑色抹胸
black jumpsuit,黑色连身裤
brushing another's hair,给别人梳头
chousoku henkei gyrozetter,超速变计陀螺仪
cycling uniform,骑行服
dosugon,道士恭
hayama kazusa,叶山和纱
jormungand,约梦甘
kitakami reika,北上玲香
kuromorimine (emblem),黑森峰（徽章）
long fingers,长手指
manboobs,男人胸部
matsushita yuu,松下悠
misaki mei,美咲美
mizuki kotora,水木小虎
naegi komaru,苗木小丸
nonoririn,非oririn
nyon (cookie),尼翁（饼干）
nyotengu,女天狗
okkotsu yuuta,okkotsu yuuta
rindou (radical dream),rindou（激进的梦想）
serperior,高级
shakemi (sake mgmgmg),沙克米（清酒mgmgmg）
sharena (fire emblem),sharena（火徽）
sliding,滑动
tamura manami,田村真奈美
tokiomi tsubasa,时臣翼
touyoko momoko,东横子桃子
vomit,呕吐
yuizaki kazuya,由崎和也
agent 3 (splatoon),特工 3（喷射）
aina (mao lian),艾娜（毛连）
collar tug,领子拖船
diving suit,潜水装
fallen angel,堕落天使
gotou hisashi,后藤久
gyate gyate,gyate gyate
handsome wataru,帅气的渡
haruichi (komikal),春一 (komikal)
height,高度
himuro shunsuke,姬室俊介
ibaraki natou,茨城菜
kazeno,风野
krudears,克鲁迪尔斯
kurokuro,黑六郎
lancelot (fate/zero),lancelot（命运/零）
m16a1,m16a1
mikleo (tales),mikleo (故事)
mono (moiky),单声道（moiky）
natsu no koucha,夏之红茶
natsuumi manatsu,夏海真夏
nyoro (nyoronyoro000),nyoro (nyoronyoro000)
paywall censor,付费墙审查员
protagonist (smtv),主角（smtv）
pussy cutout,猫切口
ruri rarako,琉璃
saigyouji yuyuko (living),西行寺悠悠子（生活）
shigatsu wa kimi no uso,shigatsu wa kimi no uso
sookmo,苏克莫
taiyou (kancolle),太油（kancolle）
tan (inka),棕褐色（印加）
tokido saya,时户说
aila jyrkiainen,艾拉于尔基亚宁
ark royal (azur lane),皇家方舟（碧蓝航线）
astesia (arknights),阿斯特西亚（方舟之夜）
bouncing penis,弹跳的阴茎
croissant (arknights),羊角面包（arknights）
dlanor a. knox,德兰诺湾诺克斯
flx,fx
fujiwara hajime,藤原始
homura (senran kagura),小焰（闪乱神乐）
japari bus,加帕里巴士
kamo kamen,卡莫假面
koh (minagi kou),koh (minagi kou)
kuronyan,库罗尼扬
latifa fleuranza,拉蒂法弗莱兰萨
licking another's cheek,舔别人的脸颊
millennium puzzle,千年之谜
nippon ichi,日本一
nisshin (kancolle),日新（kancolle）
nunucco,努努科
observerz,观察者
paint roller,滚筒刷
panda costume,熊猫服装
prison cell,牢房
ro-class destroyer,ro级驱逐舰
saigyou ayakashi,西行绫卡西
sakura hiyori,樱花日和
seiya kou,星矢口
selfie stick,自拍杆
silica (sao-alo),二氧化硅（sao-alo）
starmie,斯塔米
super saiyan 2,超级赛亚人2
teepo (tales),提波（故事）
unicorn gundam,独角兽高达
wlop,wlop
you (noanoamoemoe),你 (noanoamoemoe)
yuzuruka (bougainvillea),yuzuruka（九重葛）
asuzemu,浅结
bakugadou,爆贺堂
colette brunel,科莱特布鲁内尔
daijoubu? oppai momu?,daijoubu? oppai momu?
digital thermometer,数字温度计
essex (azur lane),埃塞克斯（蓝色车道）
fujoshi,藤上
gomu (chewinggom),gomu（咀嚼gom）
hirose yasuho,广濑康穗
holding scroll,拿着卷轴
ibuki douji (fate),伊木童子（命运）
inoue jun'ichi,井上纯一
kagerou (kers),影楼 (kers)
kayabakoro,茅场
kita senri,北千里
kuroonehalf,kuroonehalf
kurotofu,黑豆腐
label girl (dipp),标签女孩 (dipp)
lolibaba,罗利巴巴
maiku,舞库
masuyama ryou,增山凉
miazi,咪子
mirai hikari,未来光
naruse hirofumi,成濑博文
niko (tama),妮可（多摩）
onodera kosaki,小野寺小崎
peeking through fingers,透过手指窥视
penetration gesture,渗透手势
penis tentacles,阴茎触角
pink sash,粉色腰带
seaplane,水上飞机
shidou irina,士道伊莉娜
t.m. opera o (umamusume),tm 歌剧 o (umamusume)
takino tomo,泷野友
tiger paws,虎爪
undone sarashi,撤消 sarashi
yuki onna,由纪恩纳
yuri petrov,尤里·彼得罗夫
aki (neyuki41028),秋 (neyuki41028)
album cover redraw,专辑封面重绘
alchemist (ragnarok online),炼金术士（仙境传说在线）
angela (seiken densetsu 3),安吉拉 (seiken densetsu 3)
ayanami rei (cosplay),绫波丽 (cosplay)
ayaya~,呀呀~
caeda (fire emblem),caeda（火徽）
camus (dq11),加缪 (dq11)
cardiogram,心电图
celtic knot,凯尔特结
charlotte corday (fate),夏洛特·科戴（命运）
checkered bikini,格纹比基尼
chieru (princess connect!),chieru（公主连接！）
chimera,发芽
filming,拍摄
funnels (gundam),漏斗（高达）
greenhouse,温室
hamaguchi ayame,滨口绫女
heroman,英雄
hidan no aria,飞弹之咏叹调
honey come chatka!!,亲爱的来查特卡！！
jan (lightdragoon),扬（光龙）
kemomimi oukoku kokuei housou,kemomimi oukoku kokuei housou
kink (tortoiseshell),扭结（龟甲）
konayama kata,小山形
kurowa,黑轮
kyuuso inukami,九总犬神
lampshade,灯罩
mana (tsurubeji),法力（tsurubeji）
meowfficer (azur lane),喵喵（碧蓝航线）
mia (gute-nacht-07),米娅 (gute-nacht-07)
mirai (macharge),mirai (macharge)
momendoufu,莫门杜夫
mosin-nagant,莫辛纳甘
nagayama yuunon,长山友音
ne-class heavy cruiser,ne级重型巡洋舰
okita j. souji (first ascension) (fate),okita j. souji（第一次升天）（命运）
pac-man (game),吃豆人（游戏）
palla (fire emblem),帕拉（火徽）
penis on head,阴茎在头上
pink check school (idolmaster),粉红格子学校（偶像大师）
pinup (style),海报（风格）
plaid trim,格子装饰
raiden (metal gear),雷电（金属装备）
ribbon panties,丝带内裤
riko (made in abyss),riko（深渊制造）
rotom dex,旋转索引
sanpachishiki (gyokusai-jima),三八色（玉斋岛）
see-through sarong,透视纱笼
shaymin (land),谢敏（土地）
south dakota (azur lane),南达科他州（碧蓝航线）
strike witches zero,将女巫归零
stuffed octopus,酿章鱼
suna no wakusei (vocaloid),suna no wakusei (vocaloid)
takehana note,竹花笔记
team skull grunt,团队骷髅咕噜声
tsukuyomi moonphase,月读月相
victory gundam,胜利高达
x fingers,x 手指
yuubari kai ni (kancolle),夕张改你（kancolle）
zumi (zumidraws),祖米
alexmaster,亚历克斯马斯特
asari nanami,朝里七海
bikini day,比基尼日
bus interior,巴士内饰
chisel,凿
digimon adventure 02,数码宝贝大冒险 02
froakie,疯子
gorgon (fate),戈尔贡（命运）
grayfia lucifuge,灰飞虱
greatm8,伟大的8
haruki (colorful macaron),haruki（五颜六色的马卡龙）
hayama eishi,叶山英石
headbutt,头撞
kageshio (276006),影潮 (276006)
kazu (muchuukai),和津
kunashiri (kancolle),国后 (kancolle)
lilligant,轻率的
marble (toy),大理石（玩具）
mathias leth,马蒂亚斯莱斯
miku symphony (vocaloid),miku 交响曲 (vocaloid)
mikura (kancolle),三仓 (cancolle)
muoto,无本
nidy,尼迪
olivia (fire emblem),奥利维亚（火徽）
piyodesu,皮约德苏
reinama,雷纳玛
sableye,黑貂
sakurai makoto (custom size),樱井诚（自定义尺寸）
slowpoke,慢吞吞
sturm (granblue fantasy),风暴（碧蓝幻想）
takasugi shinsuke,高杉真介
takayama haruka,高山遥
tetsurou (fe+),铁郎 (fe+)
uneg,联合国内科
akabane (zebrasmise),赤羽（斑马）
alexander (fate),亚历山大（命运）
bandaid on neck,脖子上的绷带
blazpu,布拉兹普
common dolphin (kemono friends),普通海豚（kemono 朋友）
cosaten,科萨坦
crt,crt
cum on floor,精液（射）在地板上
dannex009,dannex009
death-sensei (mori calliope),死亡老师 (mori calliope)
dos (james30226),DOS (james30226)
flat screen tv,平板电视
gold coin,金币
gunpod,枪舱
harumachi nagaaki,春町长明
hebitsukai-san,边津海山
inuzumi masaki,犬沼正树
kashima yuu,鹿岛悠
koito yuu,小糸悠
marumoru,丸之
metal,金属
mikoko (kemomimi oukoku kokuei housou),神子
nagu,那古
nenobi (nenorium),nenobi (nenorium)
ojisan to marshmallow,ojisan到棉花糖
pandemonica (helltaker),pandemonica（地狱猎手）
pija (pianiishimo),pija (pianiishimo)
pokemon on lap,腿上的宝可梦
print pajamas,印花睡衣
prywinko,普里温科
soramuko,空木子
sorani (kaeru0768),索拉尼 (kaeru0768)
super blackjack,超级二十一点
suu (monster musume),suu（怪物娘）
tier harribel,层哈里贝尔
xenoblade chronicles 2: torna - the golden country,异度之刃 2：托尔纳 - 黄金国度
yukian,尤金
zekrom,捷克罗姆
95-tan,95-棕褐色
black general,黑将军
book focus,书籍重点
cello,大提琴
fluorescent lamp,日光灯
frieza,弗里萨
haruka (senran kagura),遥（闪乱神乐）
kajin (kajinman),卡金（卡金曼）
kodachi (kuroyuri shoukougun),小立
ko~cha,咯~茶
lieass,骗子
little witch nobeta,小魔女诺贝塔
mashima shima,真岛岛
meteor,流星
no thank you!,不，谢谢！
nonowa,野之羽
remodel (warship girls r),改造（军舰少女R）
sakura taisen iii,樱花大战 iii
sakurame,樱目
sekaiju no meikyuu 2,世界树之命 2
shirogane hina,白银雏
songover,翻唱
suujiniku,素人肉
topu,托普
twilight sparkle,暮光闪闪
wario,瓦里奥
yoshida masaki,吉田正树
you work you lose,你工作你输了
akaza,赤座
ancient princess menace,古代公主的威胁
checkered neckwear,格纹领带
druaga no tou,druaga no tou
erica (naze1940),艾丽卡（我是 1940 年）
forest (4423),森林 (4423)
gokuu (acoloredpencil),悟空（彩色铅笔）
green sweater vest,绿色毛衣背心
hakai shin,哈开新
hole on body,身体上的洞
implied pregnancy,暗示怀孕
kagura mea,神乐mea
kem kem,克姆克姆
kisaragi zwei,如月之心
koyashaka,小夜叉
kson,克松
living room,客厅
maett,马特
maribel (dq7),马里贝尔 (dq7)
mass effect (series),质量效应（系列）
microsoft,微软
minccino,明奇诺
nikichen,尼基琴
pixiv fantasia 4,pixiv幻想曲4
plague doctor mask,瘟疫医生面具
sayakata katsumi,胜美沙耶香
squat toilet,蹲便器
steed (steed enterprise),骏马（骏马企业）
tenten (naruto),天（火影忍者）
tokiwa midori (kyokutou funamushi),常盘绿
valkyrie (apex legends),女武神（顶级传奇）
yamauchi noriyasu,山内纪康
yen sign,yen sign
aka tawashi,又名 tawashi
anceril sacred,神圣的
arsene lupin iii,羽扇豆三世
battle girl high school,战斗少女高中
bike jersey,骑行服
biyon,比永
blue mary,蓝玛丽
brown hakama,棕色袴
cirno day,圆日
citron 82,柠檬 82
cum in cup,精液（射）在杯子里
cymbals,钹
daifuku (yukihana lamy),大福 (yukihana lamy)
dark halo,暗晕
diyusi (cookie),diyusi (饼干)
fire extinguisher,灭火器
flynn scifo,弗林科幻
horned mask,角面具
inoshira,猪头
irohara,色原
irua,伊鲁阿
jeanne d'arc alter (avenger) (first ascension) (fate),jeanne d'arc alter (avenger) (first ascension) (命运)
kai'sa,凯的
kamen rider 01 (series),假面骑士01（系列）
kaoling,高岭
kujou danbo,九条丹宝
kuroemon,黑右卫门
last exile,最后一次流放
lime slice,酸橙片
mahou shoujo lyrical nanoha the movie 2nd a's,mahou shoujo 抒情 nanoha 电影 2nd a's
megatron,威震天
melina (elden ring),梅丽娜（埃尔登戒指）
miyauchi renge,宫内莲格
new jersey (exhilarating steps!) (azur lane),新泽西州（令人振奋的步伐！）（蔚蓝泳道）
nihilego,尼希莱戈
nochita shin,野知多新
ogin (girls und panzer),ogin（少女与装甲）
ogros,食人魔
peke,佩克
red bull,红牛
riliane lucifen d'autriche,莉莉安·路西芬·奥特里希
ruined for marriage,毁了婚姻
sabitsuki,斋月
takayama sayoko,高山小夜子
ump40 (girls' frontline),ump40（少女前线）
walking away,正在走开
water balloon,水气球
yoye (pastel white),yoye（淡白）
akatsuki kai ni (kancolle),akatsuki kai ni (kancolle)
bakery,面包店
big boss,大老板
cd case,光盘盒
cliffheart (arknights),悬崖之心（方舟之夜）
felix argyle,菲利克斯阿盖尔
franka (arknights),弗兰卡（方舟之夜）
goalkeeper,守门员
harukigenia,晴天
hero neisan,英雄内桑
hokuto (scichil),北斗 (scichil)
holding magnifying glass,拿着放大镜
holding mop,拿着拖把
ikari gendou,碇
ikkyuu,一休
jester,小丑
leotard peek,紧身衣偷看
liquor,酒
mashayuki,正行
mifune shioriko,三船诗织子
murakami (girls und panzer),村上隆（少女与装甲）
necro (guilty gear),死灵（罪恶装备）
oosaka kanagawa,大坂神奈川
seren (staphy),宁静（葡萄球菌）
taishi (moriverine),太师（moriverine）
unyu,然后
yoshimoto (dear life),吉本（亲爱的生活）
zagreus (hades),zagreus（哈迪斯）
anzu (o6v6o),安祖 (o6v6o)
aoi manabu,葵学
arcane jinx,奥术厄运
bekotarou,bekotarou
big bad wolf (grimm),大灰狼（格林）
captain falcon,猎鹰船长
chidori kaname,千鸟要
core (mayomayo),核心（mayomayo）
ehrrr,错误
felix hugo fraldarius,菲利克斯·雨果·弗拉达里乌斯
gengoroumaru (ambidextrous),gengoroumaru（灵巧）
hay,干草
hazuki natsu,叶月夏
horn (instrument),喇叭（乐器）
kaoruru (sakuno2911),薰 (sakuno2911)
kippuru,基普鲁
kirara fantasia,奇拉拉幻想曲
kisaragi yuu (fallen sky),如月悠（堕落的天空）
krekkov,克雷科夫
light cruiser oni,轻巡洋舰鬼
lunacle,月牙
matchstick,火柴棍
me!me!me!,我！我！我！
mysta rias,神秘的
nanateru,七夜
oyatsu (mk2),大悦 (mk2)
rakurakutei ramen,乐乐亭拉面
sekai saisoku no panda,世界赛速之熊猫
shennong (housamo),神农（housamo）
shigure asa,时雨浅
tales of eternia,永恒的故事
yasuda akira,安田晃
zaphn,茯苓
aqua leotard,水色紧身衣
bad bcy id,坏 bcy id
call of duty,使命召唤
crown hair ornament,皇冠头饰
cyclone (reizei),旋风（reizei）
eonsang,恩尚
fighter (7th dragon),斗士（第七龙）
hagakure tooru,羽隐彻
jakuri (ar tonelico),jakuri (ar tonelico)
kawazoe tamaki,河造玉木
knifed,刀
koikawa minoru,小井川小
kunihiro hajime,始国弘
lucknight,好运之夜
mejiro ardan (umamusume),mejiro ardan (umamusume)
mishima hiroji,三岛博司
moon phases,月相
ningen (ningen96),宁根 (ningen96)
nozaki umetarou,野崎梅太郎
oz (genshin impact),盎司（原神冲击）
peacock (skullgirls),孔雀（骷髅女孩）
raika9,莱卡9
rider-tan,骑手谭
saturn (planet),土星（行星）
sela (23),塞拉 (23)
shikei,时计
single garter strap,单吊袜带
somechime (sometime1209),somechime (sometime1209)
spike spiegel,尖刺明镜
spiked hairband,尖刺发带
target,目标
tategami aoi,立上葵
tsukahara hibiki,冢原响
yagi (ningen),八木（人间）
yepnean,yepnean
yu mei-ren (first ascension) (fate),Yu Mei-Ren (First Ascension) (Fate)
ada wong,王阿达
aestheticc-meme,审美模因
akiyama mizuki,秋山水树
alice: madness returns,爱丽丝：疯狂回归
amano pikamee,天野皮卡米
angel girl (shimmer),天使女孩（微光）
atg (wttoo0202),atg (wttoo0202)
aya shachou,绫沙丑
bad arm,坏胳膊
coffee beans,咖啡豆
daimaou ruaeru,大毛鲁阿鲁
dj,DJ
doko tetora,doko tetora
enrico pucci,恩里科·普奇
france,法国
fuji shinobu,富士忍
gag removed,堵嘴被移除
green tunic,绿色束腰外衣
growlithe,成长
hanato (seonoaiko),花户（seonoaiko）
hatsune (princess connect!),初音（公主连接！）
hatsuzuki 527,初月527
hinahino,雏日野
holocouncil,全体会议
ichi (ichikai),一（一开）
ikeda kazumi,池田和美
ilsa (granblue fantasy),伊尔莎（碧蓝幻想）
ips cells,IPS 细胞
jinrui wa suitai shimashita,jinrui wasuitai shimashita
kimishima ao,君岛青
kino (m6t2a),进诺 (m6t2a)
kuya (hey36253625),酷亚 (hey36253625)
mabing,马坪
mage (ragnarok online),法师（仙境传说在线）
makkachin,马卡钦
matatabi (2ccp),matatabi (2ccp)
midnight (banyex),午夜（银联）
miyao miya,喵喵喵
mizuhara koyomi,水原孝美
mochizuki ryouji,望月凉司
momose rio,桃色里约
naked necktie,裸领带
nemu (nebusokugimi),nemu (nebusokugimi)
new mask of hope,新的希望面具
ocarina,陶笛
orie (under night in-birth),orie（出生时的夜间）
piukute062,piukute062
poppy (league of legends),罂粟（英雄联盟）
puuakachan,普瓦卡尚
queen's blade grimoire,女王之刃魔典
ranpha franboise,兰法弗朗布瓦斯
razalor,剃须刀
razor,剃刀
riku (rikkuru),陆
rinpoo chuan,仁普川
sandalphon (granblue fantasy),sandalphon（碧蓝幻想）
sasa onigiri,筱饭团
senbon-zakura (vocaloid),千本樱（vocaloid）
senmu (0107),千目 (0107)
servbot (mega man),servbot（巨人）
shauna (pokemon),肖纳（口袋妖怪）
short-sleeved sweater,短袖毛衣
shugao,舒皋
soba (saz),荞麦面（saz）
sorey (tales),sorey (故事)
striped clothes,条纹衣服
tachikawa mimi,立川美美
takakura shouma,高仓正马
tetsujin momoko,铁人桃子
toad (mario),蟾蜍（马里奥）
tomoshibi hidekazu,智志英和
ugoira conversion,乌戈伊拉转换
usatarou,臼太郎
wan'yan aguda,万延阿古达
yaotome urushi,yaotome urushi
yellow umbrella,黄色雨伞
yokoshima (euphoria),横岛（欣喜若狂）
arikawa satoru,有川悟
ephraim (fire emblem),以法莲（火徽）
fengmo,风陌
final fantasy ii,最终幻想2
gar32,gar3
hyakuhachi (over3),百八 (over3)
ikuno dictus (umamusume),这是dictus（告诉他）
inflatable dolphin,充气海豚
ishida akira,石田晃
kane-neko,金猫
karin (p&d),卡琳 (p&d)
mameshiba,豆柴
mayura2002,马尤拉2002
melona,甜瓜
minea (dq4),minea (dq4)
miyai sen,宫井森
muffin (sirumeria),松饼（sirumeria）
night elf (warcraft),暗夜精灵（魔兽）
orange coat,橙色外套
poniko,波尼科
ponsuke (pon00000),ponsuke (pon00000)
societte (granblue fantasy),兴业银行（碧蓝幻想）
swablu,施瓦布卢
symmetra (overwatch),symmetra（守望先锋）
takorice,塔科里切
tennouboshi uzume,天王星 uzume
tomozero,智零
wheat field,麦田
yui toshiki,俊树由衣
zafira,赛飞利
andou mahoro,安藤真幌
angel mort,死天使
apt,易于
ariverkao,阿里沃考
beeswax (arknights),蜂蜡（方舟之夜）
body pillow,身体枕头
broly (dragon ball z),布罗利（七龙珠Z）
chocomiru,chocomiru
dermar,真皮
draenei,德莱尼
female goblin,女妖精
futanari pov,futanari pov
giraffe horns,长颈鹿角
grey eyeshadow,灰色眼影
hanamiya natsuka,花宫夏香
holding briefcase,拿着公文包
i-47 (kancolle),i-47（坎科尔）
kanekiyo miwa,三轮金清
kurusugawa ayaka,来栖川绫香
lobster,龙虾
locomotive,机车
monobe yuri,物部百合
monster strike,怪物罢工
nekomusume (gegege no kitarou 5),nekomusume (gegege no kitarou 5)
noah (tettsui-sole),诺亚 (tetsui-sole)
persona dancing,角色舞蹈
prinz heinrich (azur lane),海因里希亲王（碧蓝航线）
shake-o,摇一摇
shirogane miyuki,白银美雪
t-elos,t-elos
tome of the night sky,夜空之书
tuna,金枪鱼
wattaro,瓦太郎
yuki (popopo),由纪（popopo）
yukiu con,yukiu con
asahi breweries,朝日啤酒厂
azuma (azur lane),azuma（碧蓝航线）
blue jumpsuit,蓝色连身裤
bokutachi wa benkyou ga dekinai,bokutachi wa benkyou ga dekinai
canal,运河
charin,沙林
clarevoir,克莱沃
coin rand,硬币兰特
crotch kick,胯部踢
dean,院长
diagonal-striped neckwear,斜条纹领带
dorsiflexion,背屈
ech,ech
fbc,脸书
front slit,前开衩
gununu,古努努
haga yui,羽衣
harbor,港口
ikurauni,伊库拉尼
kamille bidan,卡米尔·比丹
kos-mos ver. 4,kos-mos ver.4
kosshii (masa2243),kosshii (masa2243)
marui koishi,丸井恋
mikasa (azur lane),三笠（碧蓝航线）
minazuki juuzou,水月十造
mitsudoue,光上
monrooru,门楼
myrrh (fire emblem),没药（火徽）
nishiuri,西织
patterned legwear,有图案的裤袜
perseus (unfamiliar duties) (azur lane),perseus (不熟悉的职责) (azur Lane)
piano print,钢琴版画
running track,运行轨道
sabamen,沙巴门
shiina noriko,椎名纪子
short braid,短辫子
slug,蛞蝓
sneasel,斯内塞尔
sou (soutennkouchi),搜
submission hold,提交保留
tapir ears,貘耳朵
tidsean,潮汐
tkgsize,tkg大小
too bad! it was just me! (meme),太糟糕了！只是我！ （模因）
trapped,被困
ttomm,ttomm
unhappy,不开心
vice-versa (skullgirls),反之亦然（骷髅女孩）
white garter belt,白色吊袜带
yamabuki saaya,山吹小夜
yoon cook,尹库克
25-ji night code de. (project sekai),25-ji 夜代码 de。 （项目世界）
atoshi,原子
brighid (xenoblade),brighid（异种之刃）
character hair ornament,人物发饰
darkrai,达克莱伊
dreepy,令人毛骨悚然
ebido,埃比多
green armband,绿臂章
grim aloe,冷酷的芦荟
hololive fantasy,全息幻想
irelia,艾瑞利亚
kamia (not found),卡米亚（未找到）
knights of the round uniform,圆形骑士团制服
lord of vermilion,朱红之主
merry nightmare,快乐的噩梦
mole on shoulder,肩膀上有痣
nontraditional school swimsuit,非传统学校泳装
noren,门帘
pako (pakosun),帕科（pakosun）
pen (medium),笔（中）
polka dot pillow,波点枕头
red camisole,红色吊带背心
relay baton,接力棒
silence glaive,沉默之刃
suito,西托
thompson submachine gun,汤普森冲锋枪
underwear theft,内衣盗窃
volkner (pokemon),沃尔克纳（口袋妖怪）
yuuki (yuyuki000),优纪 (yuyuki000)
zenkou,禅口
abbystea,阿比斯蒂亚
agarest senki (series),阿加雷斯特战记（系列）
amane ruri,天籁琉璃
aoki ume,青木梅
azki (hololive),azki（全息）
barcode scanner,条形码扫描器
bonnie (pokemon),邦妮（口袋妖怪）
boxing,拳击
dark precure,黑暗预治疗
diglett,迪格利特
ellen (touhou),艾伦（东方）
foodgasm,食物气
frilled shawl,褶边披肩
fruit tree,fruit tree
kamata yuuya,蒲田悠也
kamen rider build (series),假面骑士build（系列）
kanta (kanta 077),坎塔（坎塔 077）
koikatsu (medium),小胜（中）
kuragari,仓里
kurose kousuke,黑濑幸介
lee-enfield (girls' frontline),lee-enfield（女子前线）
luxray,勒克斯雷
maken-ki!,让-ki！
momo (higanbana and girl),momo（彼岸花和女孩）
oberon (third ascension) (fate),oberon（第三次提升）（命运）
ogawa shou,小川受
pikmin (creature),皮克敏（生物）
prolapse,脱垂
recursion,递归
ryota (ry o ta),ryota (ry o ta)
sakura empire (emblem),樱花帝国会徽
shamare (arknights),shamare（方舟之夜）
shoshinsha mark,上心社标志
shuuko (s h uuko),shuuko (sh uuko)
souza samonji,索萨萨蒙吉
unconnected marketeers,无关联的营销人员
vector (girls' frontline),矢量（女孩前线）
yakisoba,炒面
adjusting leotard,调整紧身衣
ae-3803,AE-3803
arceus,阿尔宙斯
arizuka (catacombe),有冢（地下墓穴）
ashe (league of legends),阿什（英雄联盟）
blue male underwear,蓝色男内裤
blueberry (5959),蓝莓 (5959)
c.c. lemon,cc柠檬
core,核
cross (crossryou),交叉（crossryou）
dorontabi,多龙塔比
foaming at the mouth,口吐白沫
force-feeding,强制喂食
ganari ryuu,ganari ryuu
hinatsuki mikan,雏月蜜柑
kadeart,卡德艺术
kikumaru bunta,菊丸文太
kuro (be ok),kuro（没事）
kurumi (touhou),久留米
leopard boy,豹子男孩
memories off,回忆断了
michelle (bang dream!),米歇尔（好梦！）
mine fujiko,我的藤子
mirror image,镜像
morizono shiki,森园式
music video,音乐视频
on box,在盒子上
persona 4 the golden,女神异闻录4黄金
pidgey,皮吉
shirahane nao,白羽直
silent hill 2,寂静岭2
spiked gauntlets,尖刺手套
takanashi souta,高梨宗太
take it home,带回家
uguisumaru,鬼丸
ushiromiya eva,饭宫eva
vertical comic,垂直漫画
wakfu,瓦克夫
wobbuffet,自助餐
wolf paws,狼爪
akane (blue archive),茜（蓝色档案）
akatsuki hijiri,晓希尻
animation paper,动画纸
breast contest,乳房比赛
canister,罐
clueless,一头雾水
dengeki g's,电击g的
franky,坦率的
hands on thighs,双手放在大腿上
in heat,热中
koshigaya komari,越谷小麻里
leona (league of legends),leona（英雄联盟）
lightsource,光源
masha,玛莎
mashiro (rikuya),真城（六谷）
material-s,材料
meeko,米高
negahami,负滨
owari akane,尾张茜
plackart,平板电脑
re:shimashima,回复：岛岛
scizor,剪刀
senji (tegone spike),senji (tegone 穗)
senran kagura new link,闪乱神乐新链接
shared blanket,共享毯子
swan,天鹅
takagi (tansuke),高木 (tansuke)
torn thighhighs,撕裂的大腿
train station platform,火车站月台
urban,城市的
warlock (ragnarok online),术士（仙境传说在线）
wing brooch,翅膀胸针
against fence,对着栅栏
amedamacon,艾美麦肯
anti (0324),反 (0324)
aqua skin,水色皮肤
arthropod boy,节肢动物男孩
ask (askzy),问（问）
ayase fuuka,绫濑风
broken mirror,破碎的镜子
butterfly ornament,蝴蝶饰品
chocolate chip cookie,巧克力曲奇
edward teach (fate),爱德华·蒂奇（命运）
garland (decoration),花环（装饰）
ichininmae no lady,一人前没有女人
incoming drink,进来的饮料
intertwined tails,交织的尾巴
juuban middle school uniform,中学制服
kamiya maneki,神谷招手
koshika rina,越鹿梨奈
m4 sherman,m4谢尔曼
market,市场
nameless dagger (fate),无名匕首（命运）
night vision device,夜视仪
oda nobunaga (maou avenger) (fate),织田信长（真奥复仇者）（命运）
playing card theme,扑克牌主题
print footwear,印花鞋
pyukumuku,佩库穆库
school of fish,一群鱼
shalon,沙龙
shin'en (gyokuro company),新园（玉露社）
stone mask (jojo),石面具（jojo）
stop sign,停止标志
sunny (omori),阳光明媚（森）
super saiyan 4,超级赛亚人4
touhou lost word,东方失语
yellow tail,黄尾
yuuyu (777),悠悠 (777)
a6m zero,a6m 零
abigail williams (swimsuit foreigner) (first ascension) (fate),阿比盖尔·威廉姆斯（泳装外国人）（第一次升天）（命运）
akai sashimi,赤井刺身
ali baba saluja,阿里巴巴
alicia (granblue fantasy),艾丽西亚（碧蓝幻想）
aozaki touko,青崎刀子
asahina mafuyu,朝比奈真冬
barbell,杠铃
beowulf (fate),贝奥武夫（命运）
berabou,贝拉布
blue tabard,蓝色战袍
cleopatra (fate),克娄巴特拉（命运）
crown removed,去除了皇冠
cuteg,可爱的
deva battle suit,天神战斗服
egawa satsuki,江川小月
florence nightingale (fate) (cosplay),佛罗伦萨夜莺（命运）（角色扮演）
florence nightingale (trick or treatment) (fate) (cosplay),florence nightingale (trick or treatment) (fate) (cosplay)
folks (nabokof),伙计们（纳博科夫）
gogeta,戈吉塔
grumpy nun (diva),脾气暴躁的修女（女主角）
ham (points),火腿（分）
hirato (kancolle),平户（kancolle）
hoozuki (hoozuki no reitetsu),hoozuki (hoozuki no reitetsu)
ichiren namiro,波一莲
kaigen 1025,改善1025
kamen rider den-o (series),假面骑士电王（系列）
kim hyung tae,金亨泰
kiri futoshi,桐人
kuwashima rein,桑岛缰绳
mad hatter (alice in wonderland),疯帽子（爱丽丝梦游仙境）
mimino kurumi,三美野久留美
mirin chikuwa,竹轮味霖
no,不
okayado,还行
onigiri print,饭团打印
oshiki hitoshi,大木人
ozen,奥森
pac-man eyes,吃豆人的眼睛
pan-pa-ka-paaan!,潘-帕-卡-潘！
project diva,项目女主角
quiz magic academy the world evolve,测验魔法学院世界进化
sacred heart,神圣的心
